"MMM","3M Company Common",155.3334,155.68,+0.2834,"11/5/2014","2:37pm"
"AXP","American Express ",92.109,91.96,+0.729,"11/5/2014","2:37pm"
"T","AT&T Inc.",34.87,34.94,+0.08,"11/5/2014","2:37pm"
"BA","Boeing Company (T",124.5868,126.01,-0.5232,"11/5/2014","2:37pm"
"CAT","Caterpillar, Inc.",99.23,99.20,+0.62,"11/5/2014","2:37pm"
"CVX","Chevron Corporati",116.73,117.25,+1.36,"11/5/2014","2:38pm"
"CSCO","Cisco Systems, In",25.09,25.00,+0.21,"11/5/2014","2:37pm"
"KO","Coca-Cola Company",42.2599,42.31,+0.4399,"11/5/2014","2:37pm"
"DD","E.I. du Pont de N",69.66,68.79,+1.15,"11/5/2014","2:37pm"
"XOM","Exxon Mobil Corpo",95.28,95.36,+0.76,"11/5/2014","2:37pm"
"GE","General Electric ",25.78,25.90,+0.08,"11/5/2014","2:38pm"
"GS","Goldman Sachs Gro",189.99,191.44,-0.28,"11/5/2014","2:38pm"
"HD","Home Depot, Inc. ",95.79,96.58,-0.17,"11/5/2014","2:38pm"
"INTC","Intel Corporation",33.72,34.09,-0.82,"11/5/2014","2:38pm"
"IBM","International Bus",161.81,163.13,-0.84,"11/5/2014","2:37pm"
"JNJ","Johnson & Johnson",108.55,109.05,-0.07,"11/5/2014","2:38pm"
"JPM","JP Morgan Chase &",60.985,60.80,+0.735,"11/5/2014","2:37pm"
"MCD","McDonald's Corpor",94.7066,94.96,+0.2366,"11/5/2014","2:37pm"
"MRK","Merck & Company, ",59.451,60.00,+0.081,"11/5/2014","2:37pm"
"MSFT","Microsoft Corpora",47.69,47.81,+0.12,"11/5/2014","2:38pm"
"NKE","Nike, Inc. Common",94.50,94.75,+0.55,"11/5/2014","2:37pm"
"PFE","Pfizer, Inc. Comm",30.045,30.37,+0.025,"11/5/2014","2:37pm"
"PG","Procter & Gamble ",88.92,88.74,+0.28,"11/5/2014","2:37pm"
"TRV","The Travelers Com",101.385,101.58,+0.255,"11/5/2014","2:37pm"
"UNH","UnitedHealth Grou",95.67,95.57,+0.69,"11/5/2014","2:38pm"
"UTX","United Technologi",108.40,107.53,+1.52,"11/5/2014","2:38pm"
"VZ","Verizon Communica",50.34,50.73,+0.01,"11/5/2014","2:38pm"
"V","Visa Inc.",248.74,244.59,+5.77,"11/5/2014","2:38pm"
"WMT","Wal-Mart Stores, ",77.75,77.87,+0.49,"11/5/2014","2:38pm"
"DIS","Walt Disney Compa",90.565,91.42,+0.215,"11/5/2014","2:37pm"
