"TFSC","1347 Capital Corp",9.56,N/A,0.00,"10/31/2014","11:21am"
"TFSCR","1347 Capital Corp",0.38,N/A,0.00,"10/29/2014","2:23pm"
"TFSCU","1347 Capital Corp",10.01,N/A,0.00,"10/23/2014","10:11am"
"TFSCW","1347 Capital Corp",0.21,N/A,0.00,"10/29/2014","2:29pm"
"PIH","1347 Property Ins",7.79,7.78,+0.0299,"11/5/2014","2:32pm"
"FLWS","1-800 FLOWERS.COM",7.88,8.06,-0.15,"11/5/2014","2:35pm"
"FCTY","1st Century Bancs",6.9061,7.15,-0.2139,"11/5/2014","9:45am"
"FCCY","1st Constitution ",10.90,11.30,+0.0172,"11/5/2014","1:32pm"
"SRCE","1st Source Corpor",31.64,31.67,+0.17,"11/5/2014","2:27pm"
"FUBC","1st United Bancor",8.85,N/A,0.00,"10/31/2014","3:00pm"
"TWOU","2U, Inc.",17.68,18.40,+0.31,"11/5/2014","2:36pm"
"DGLD","Credit Suisse AG",87.96,88.93,+4.16,"11/5/2014","2:36pm"
"JOBS","51job, Inc.",31.83,31.96,-0.02,"11/5/2014","2:36pm"
"EGHT","8x8 Inc",7.57,7.81,-0.14,"11/5/2014","2:37pm"
"AVHI","A V Homes, Inc.",14.79,14.88,-0.03,"11/5/2014","2:37pm"
"SHLM","A. Schulman, Inc.",35.75,35.15,+0.80,"11/5/2014","2:37pm"
"AAON","AAON, Inc.",20.21,20.50,-0.04,"11/5/2014","2:37pm"
"ASTM","Aastrom Bioscienc",2.84,2.82,+0.03,"11/5/2014","2:36pm"
"ABAX","ABAXIS, Inc.",54.23,53.72,+0.85,"11/5/2014","2:36pm"
"ABY","Abengoa Yield plc",31.35,31.23,+0.13,"11/5/2014","2:37pm"
"ABGB","Abengoa, S.A.",18.82,18.45,-1.93,"11/5/2014","2:22pm"
"ABMD","ABIOMED, Inc.",31.33,32.17,-0.52,"11/5/2014","2:34pm"
"AXAS","Abraxas Petroleum",4.055,3.89,+0.225,"11/5/2014","2:37pm"
"ACTG","Acacia Research C",17.82,17.85,+0.13,"11/5/2014","2:35pm"
"ACHC","Acadia Healthcare",60.46,61.49,-0.31,"11/5/2014","2:37pm"
"ACAD","ACADIA Pharmaceut",27.15,28.05,-0.51,"11/5/2014","2:37pm"
"ACST","Acasti Pharma, In",0.495,0.495,0.00,"11/5/2014","1:58pm"
"AXDX","Accelerate Diagno",21.35,22.50,-0.92,"11/5/2014","2:36pm"
"XLRN","Acceleron Pharma ",33.82,34.88,-0.72,"11/5/2014","2:33pm"
"ANCX","Access National C",16.90,17.25,-0.34,"11/5/2014","2:26pm"
"ARAY","Accuray Incorpora",6.84,6.72,+0.14,"11/5/2014","2:37pm"
"ACRX","AcelRx Pharmaceut",6.18,6.62,-0.39,"11/5/2014","2:37pm"
"ACET","Aceto Corporation",22.26,23.11,-0.70,"11/5/2014","2:36pm"
"AKAO","Achaogen, Inc.",9.86,9.87,+0.06,"11/5/2014","2:29pm"
"ACHN","Achillion Pharmac",10.195,10.35,-0.035,"11/5/2014","2:37pm"
"ACIW","ACI Worldwide, In",18.42,18.67,-0.19,"11/5/2014","2:37pm"
"ACNB","ACNB Corporation",19.5001,19.50,0.00,"11/5/2014","12:25pm"
"ACOR","Acorda Therapeuti",34.57,35.19,-0.21,"11/5/2014","2:37pm"
"ACFN","Acorn Energy, Inc",0.9751,1.02,-0.0249,"11/5/2014","2:37pm"
"ACTS","Actions Semicondu",1.79,1.81,+0.01,"11/5/2014","2:37pm"
"ACPW","Active Power, Inc",1.91,1.89,+0.01,"11/5/2014","2:36pm"
"ATVI","Activision Blizza",20.545,21.30,+0.595,"11/5/2014","2:37pm"
"ACTA","Actua Corporation",18.28,18.57,-0.11,"11/5/2014","2:31pm"
"BIRT","Actuate Corporati",4.20,4.26,0.00,"11/5/2014","2:37pm"
"ACUR","Acura Pharmaceuti",0.5793,0.59,-0.0107,"11/5/2014","2:27pm"
"ACXM","Acxiom Corporatio",18.58,18.03,+0.74,"11/5/2014","2:37pm"
"ADMS","Adamas Pharmaceut",14.46,16.03,-1.75,"11/5/2014","2:35pm"
"ADMP","Adamis Pharmaceut",4.48,4.47,+0.02,"11/5/2014","1:58pm"
"ADUS","Addus HomeCare Co",19.97,20.30,-0.23,"11/5/2014","2:36pm"
"AEY","ADDvantage Techno",2.4009,N/A,-0.0191,"11/5/2014","11:59am"
"ADEP","Adept Technology,",8.35,7.56,+1.35,"11/5/2014","2:32pm"
"ADBE","Adobe Systems Inc",71.52,71.53,+0.45,"11/5/2014","2:37pm"
"ADTN","ADTRAN, Inc.",21.20,21.53,-0.23,"11/5/2014","2:37pm"
