"MMM","3M Company Common",156.55,156.15,+0.50,"11/7/2014","4:02pm"
"AXP","American Express ",92.26,91.71,+0.68,"11/7/2014","4:00pm"
"T","AT&T Inc.",34.91,34.71,+0.19,"11/7/2014","4:00pm"
"BA","Boeing Company (T",124.45,124.93,-0.13,"11/7/2014","4:05pm"
"CAT","Caterpillar, Inc.",101.76,101.26,+0.85,"11/7/2014","4:02pm"
"CVX","Chevron Corporati",118.80,118.75,+0.27,"11/7/2014","4:00pm"
"CSCO","Cisco Systems, In",25.33,25.29,+0.07,"11/7/2014","3:59pm"
"KO","Coca-Cola Company",42.32,42.45,+0.03,"11/7/2014","4:02pm"
"DD","E.I. du Pont de N",70.41,70.11,+0.29,"11/7/2014","4:00pm"
"XOM","Exxon Mobil Corpo",96.59,95.72,+1.02,"11/7/2014","4:00pm"
"GE","General Electric ",26.41,26.29,+0.05,"11/7/2014","4:01pm"
"GS","Goldman Sachs Gro",190.71,191.25,-0.29,"11/7/2014","4:01pm"
"HD","Home Depot, Inc. ",97.65,97.21,+0.36,"11/7/2014","4:01pm"
"INTC","Intel Corporation",33.58,33.98,-0.24,"11/7/2014","3:59pm"
"IBM","International Bus",162.07,161.41,+0.61,"11/7/2014","4:02pm"
"JNJ","Johnson & Johnson",108.20,109.00,-0.81,"11/7/2014","4:02pm"
"JPM","JP Morgan Chase &",61.47,61.07,+0.24,"11/7/2014","4:02pm"
"MCD","McDonald's Corpor",95.10,94.40,+0.44,"11/7/2014","4:02pm"
"MRK","Merck & Company, ",59.34,59.39,+0.08,"11/7/2014","4:02pm"
"MSFT","Microsoft Corpora",48.68,48.92,-0.02,"11/7/2014","4:00pm"
"NKE","Nike, Inc. Common",93.78,94.19,-0.82,"11/7/2014","4:02pm"
"PFE","Pfizer, Inc. Comm",29.92,30.13,-0.12,"11/7/2014","4:02pm"
"PG","Procter & Gamble ",89.13,88.74,+0.23,"11/7/2014","4:02pm"
"TRV","The Travelers Com",102.37,102.04,+0.46,"11/7/2014","4:00pm"
"UNH","UnitedHealth Grou",93.61,95.50,-2.60,"11/7/2014","4:00pm"
"UTX","United Technologi",109.08,108.49,+0.50,"11/7/2014","4:00pm"
"VZ","Verizon Communica",50.86,50.33,+0.58,"11/7/2014","4:01pm"
"V","Visa Inc.",252.43,250.12,+2.34,"11/7/2014","4:01pm"
"WMT","Wal-Mart Stores, ",78.77,77.84,+0.96,"11/7/2014","4:01pm"
"DIS","Walt Disney Compa",90.00,89.39,-2.00,"11/7/2014","4:00pm"
