"TFSC","1347 Capital Corp",9.56,N/A,0.00,"10/31/2014","11:21am"
"TFSCR","1347 Capital Corp",0.38,N/A,0.00,"10/29/2014","2:23pm"
"TFSCU","1347 Capital Corp",10.01,N/A,0.00,"10/23/2014","10:11am"
"TFSCW","1347 Capital Corp",0.21,N/A,0.00,"10/29/2014","2:29pm"
"PIH","1347 Property Ins",7.78,7.75,-0.02,"11/7/2014","3:59pm"
"FLWS","1-800 FLOWERS.COM",8.29,7.90,+0.37,"11/7/2014","4:00pm"
"FCTY","1st Century Bancs",6.90,7.22,+0.04,"11/7/2014","12:44pm"
"FCCY","1st Constitution ",10.56,10.85,-0.25,"11/7/2014","3:59pm"
"SRCE","1st Source Corpor",31.31,31.94,-0.60,"11/7/2014","4:00pm"
"FUBC","1st United Bancor",8.85,N/A,0.00,"10/31/2014","3:00pm"
"TWOU","2U, Inc.",17.89,17.90,+0.02,"11/7/2014","4:00pm"
"DGLD","Credit Suisse AG",81.39,86.62,-7.36,"11/7/2014","4:00pm"
"JOBS","51job, Inc.",34.065,33.00,+1.665,"11/7/2014","4:00pm"
"EGHT","8x8 Inc",7.64,7.51,+0.11,"11/7/2014","4:00pm"
"AVHI","A V Homes, Inc.",15.09,14.76,+0.33,"11/7/2014","4:00pm"
"SHLM","A. Schulman, Inc.",36.99,36.68,+0.39,"11/7/2014","4:00pm"
"AAON","AAON, Inc.",20.81,20.93,-0.06,"11/7/2014","3:59pm"
"ASTM","Aastrom Bioscienc",2.74,2.79,-0.07,"11/7/2014","4:00pm"
"ABAX","ABAXIS, Inc.",51.63,53.90,-2.21,"11/7/2014","4:00pm"
"ABY","Abengoa Yield plc",32.40,32.57,-0.08,"11/7/2014","4:00pm"
"ABGB","Abengoa, S.A.",18.55,18.42,-0.01,"11/7/2014","4:00pm"
"ABMD","ABIOMED, Inc.",32.13,31.66,+0.47,"11/7/2014","4:00pm"
"AXAS","Abraxas Petroleum",4.28,4.08,+0.21,"11/7/2014","4:00pm"
"ACTG","Acacia Research C",18.11,17.89,+0.18,"11/7/2014","4:00pm"
"ACHC","Acadia Healthcare",60.41,60.34,-0.25,"11/7/2014","4:00pm"
"ACAD","ACADIA Pharmaceut",27.69,27.87,-0.25,"11/7/2014","4:00pm"
"ACST","Acasti Pharma, In",0.50,0.4801,+0.01,"11/7/2014","3:59pm"
"AXDX","Accelerate Diagno",20.35,20.75,-0.45,"11/7/2014","4:00pm"
"XLRN","Acceleron Pharma ",30.19,34.38,-3.95,"11/7/2014","4:00pm"
"ANCX","Access National C",17.20,17.15,+0.04,"11/7/2014","4:00pm"
"ARAY","Accuray Incorpora",6.85,6.85,-0.05,"11/7/2014","4:00pm"
"ACRX","AcelRx Pharmaceut",6.04,5.62,+0.41,"11/7/2014","4:00pm"
"ACET","Aceto Corporation",21.03,21.03,-1.25,"11/7/2014","4:00pm"
"AKAO","Achaogen, Inc.",9.67,9.78,-0.07,"11/7/2014","4:00pm"
"ACHN","Achillion Pharmac",10.11,10.20,-0.15,"11/7/2014","4:00pm"
"ACIW","ACI Worldwide, In",18.52,18.54,-0.09,"11/7/2014","4:00pm"
"ACNB","ACNB Corporation",19.6041,19.70,+0.0491,"11/7/2014","1:01pm"
"ACOR","Acorda Therapeuti",35.11,35.83,-0.85,"11/7/2014","4:00pm"
"ACFN","Acorn Energy, Inc",1.01,0.90,+0.1299,"11/7/2014","4:00pm"
"ACTS","Actions Semicondu",1.83,1.80,-0.01,"11/7/2014","4:00pm"
"ACPW","Active Power, Inc",1.89,1.90,+0.01,"11/7/2014","4:00pm"
"ATVI","Activision Blizza",20.65,20.53,+0.07,"11/7/2014","3:59pm"
"ACTA","Actua Corporation",16.52,15.94,+0.62,"11/7/2014","4:00pm"
"BIRT","Actuate Corporati",3.79,4.15,-0.39,"11/7/2014","4:00pm"
"ACUR","Acura Pharmaceuti",0.58,0.58,+0.0049,"11/7/2014","4:00pm"
"ACXM","Acxiom Corporatio",19.06,19.34,-0.32,"11/7/2014","4:00pm"
"ADMS","Adamas Pharmaceut",15.07,15.04,-0.01,"11/7/2014","4:00pm"
"ADMP","Adamis Pharmaceut",4.14,4.27,-0.12,"11/7/2014","4:00pm"
"ADUS","Addus HomeCare Co",20.73,20.40,+0.33,"11/7/2014","4:00pm"
"AEY","ADDvantage Techno",2.519,2.40,+0.019,"11/7/2014","3:39pm"
"ADEP","Adept Technology,",8.18,8.16,0.00,"11/7/2014","4:00pm"
"ADBE","Adobe Systems Inc",71.60,72.35,-0.50,"11/7/2014","4:00pm"
"ADTN","ADTRAN, Inc.",21.53,21.14,+0.30,"11/7/2014","4:00pm"
